Year,Alum Band ID,Frequency,Nest Attempt,Bird Capture Site,NestID,FlagLat,FlagLong,FlagBear,NestLat,NestLong,Nest Description,Clutch Size,Date Counted,FloatA,FloatB,FloatC,FloatD,FloatAverage,Est.Laying.Initiation,EstimatedHatch,Fate,Comments
2020,381,149.383,1,Gray Fire Dept.,381-2020-1,,,,43.8914,-70.354879,At the base of a 12 foot high small cluster of stump growth hardwood. The long side small stream on a hillside in pretty open habitat. Mature Pines all around open forest floor.,13,4/29/2020,NA,NA,NA,NA,NA,4/16/2020,5/26/2020,1,I expect I caused abandonment by flushing her accidentally. She was giving off a mortality signal and as I approached she flushed off the nest. Not on nest 8 hours later.
2020,397,149.1696,1,Roger's Farm,397-2020-1,,,,44.934348,-68.701163,"In debris pile on edge of skidder trail within clear-cut, total vertical and horizontal cover by balsam fir boughs and debris.",12,5/7/2020,6-8,6-8,6-8,6-8,8,4/18/2020,5/26/2020,1,Hen predated by fox off nest during flush.
2020,1562,149.574,1,McCallister-Hampden,1562-2020-1,44.7088,-68.867524,90,44.708891,-68.866899,"Nest in recent logging slash of Poplar and Hemlock, 5 feet from field edge",NA,NA,NA,NA,NA,NA,NA,4/12/2020,5/26/2020,1,Nest Depredated.  Hen killed. Transmitter recovered 1/4 mile from nest bowl.
2020,1560,149.5931,1,Davis Oil,1560-2020-1,,,,44.85311,-68.75423,edge of downed dead sapling and CWD on trail edge surrounded by wetland/swamp,12,5/23/2020,23,23,23,16,22,4/19/2020,5/28/2020,1,"abandoned. 1 egg cracked possibly form flush, hen did not return to nest after flush but cracked egg was consumed day after flush."
2020,845,149.802,1,McCallister-Hampden,845-2020-1,44.70854,-68.85308,80,44.708548,-68.852785,Nest in 12X12 patch of Pine Branch blowdowns at the base of a softwood sapling 2 feet high.  small amount of raspberry growth near nest.,14,5/20/2020,16,16,16,23,18,4/19/2020,5/29/2020,0,Hatched 9 of 14 eggs.  4 Unhatched and 1 Unaccounted for.  Hen seen 500 meters from nest site with poults in grass.  Estimated hatch 5/28.
2020,442,150.75,1,Parker,442-2020-1,45.03186,-68.61999,210,45.03006,-68.62341,base of 3' spruce snap in labrador tea (sp?) cover; 10m from overgrown 2-track,10,5/17/2020,16,8-11,8-11,8-11,12,4/25/2020,6/1/2020,0,All eggs hatched
2020,826,150.914,1,Bradbury,826-2020-1,,,,44.977775,-68.265204,"In large slash pile against downed pine branches, ~25m east of 2-track",NA,NA,NA,NA,NA,NA,NA,4/24/2020,6/1/2020,1,Nest Depredated: trail of downy feathers ending in 2 wing feathers away from nest; 3 eggs found with holes punched through the sides
2020,1626,150.905,1,Monson,1626-2020-1,45.44421,-69.45974,107,45.44453,-69.4594,amongst some very young balsam fir in a regenerating clearcut,13,6/5/2020,,,,,,4/22/2020,6/2/2020,0,"10 different eggs found (9 hatched, 1 whole)"
2020,449,149.662,1,Parker,449-2020-1,45.0193,-68.6192,39,45.01976,-68.61751,in small copse of saplings approx 75m from beaver pond; 125m NE of Lindey Ln,14,5/17/2020,8-11,8-11,8-11,8-11,10,4/24/2020,6/4/2020,1,"Hen predated (first mort 6/1, last alive 5/27) and carcass found ~50m from nest; nest bowl empty"
2020,848,149.645,1,McCallister-Hampden,848-2020-1,44.71858,-68.8476,100,44.7184,-68.855128,"Nest in small patch of grapevine tendrils and branches, 2 feet into the woods from a stone wall.",NA,NA,NA,NA,NA,NA,NA,4/27/2020,6/4/2020,1,Nest Depredated.  Egg shell remains in nest bowl.  Signal for hen very distant.
